Consumer Expenditure Survey,,,,,,,,
Original Data Value,,,,,,,,
,,,,,,,,
Series Id:,CXUGASOILLB0101M,,,,,,,
Category:,Expenditures,,,,,,,
Subcategory:,Transportation,,,,,,,
Item:,"Gasoline, other fuels, and motor oil",,,,,,,
Demographics:,Quintiles of income before taxes,,,,,,,
Characteristics:,All Consumer Units,,,,,,,
Years:,1987 to 2019,,,,,,,
,,,,,,,,
Year,Period,Estimate,Standard Error,Relative Standard Error,Percent Reporting,Share of Total Expenditures,Aggregate Expenditure (in millions of dollars),Share of Aggregate Expenditure
1987,Annual,888,,,,,,
1988,Annual,932,,,,,,
1989,Annual,985,,,,,,
1990,Annual,1047,,,,,,
1991,Annual,995,,,,,,
1992,Annual,973,,,,,,
1993,Annual,977,,,,,,
1994,Annual,986,,,,,,
1995,Annual,1006,,,,,,
1996,Annual,1082,,,,,,
1997,Annual,1098,,,,,,
1998,Annual,1017,,,,,,
1999,Annual,1055,,,,,,
2000,Annual,1291,,,,,,
2001,Annual,1279,,,,,,
2002,Annual,1235,,,,,,
2003,Annual,1333,,,,,,
2004,Annual,1598,,,,,,
2005,Annual,2013,,,,,,
2006,Annual,2227,,,,,,
2007,Annual,2384,,,,,,
2008,Annual,2715,,,,,,
2009,Annual,1986,,,,,,
2010,Annual,2132,20.32,0.95,90.12,4.4,,
2011,Annual,2655,30.16,1.14,90.49,5.3,324618,
2012,Annual,2756,24.99,0.91,90.31,5.4,342863,
2013,Annual,2611,25.07,0.96,89.80,5.1,328170,
2014,Annual,2468,24.08,0.98,89.85,4.6,313481,
2015,Annual,2090,24.17,1.16,89.57,3.7,268378,
2016,Annual,1909,22.86,1.20,90.03,3.3,247294,
2017,Annual,1968,25.67,1.30,89.38,3.3,255856,
2018,Annual,2109,23.33,1.11,88.81,3.4,277165,
2019,Annual,2094,21.44,1.02,89.57,3.3,276931,
