Consumer Expenditure Survey,,,,,,,,
Original Data Value,,,,,,,,
,,,,,,,,
Series Id:,CXUTOTALEXPLB0101M,,,,,,,
Category:,Expenditures,,,,,,,
Subcategory:,Total average annual expenditures,,,,,,,
Item:,Average annual expenditures,,,,,,,
Demographics:,Quintiles of income before taxes,,,,,,,
Characteristics:,All Consumer Units,,,,,,,
Years:,1987 to 2019,,,,,,,
,,,,,,,,
Year,Period,Estimate,Standard Error,Relative Standard Error,Percent Reporting,Share of Total Expenditures,Aggregate Expenditure (in millions of dollars),Share of Aggregate Expenditure
1987,Annual,24414,,,,,,
1988,Annual,25892,,,,,,
1989,Annual,27810,,,,,,
1990,Annual,28381,,,,,,
1991,Annual,29614,,,,,,
1992,Annual,29846,,,,,,
1993,Annual,30692,,,,,,
1994,Annual,31731,,,,,,
1995,Annual,32264,,,,,,
1996,Annual,33797,,,,,,
1997,Annual,34819,,,,,,
1998,Annual,35535,,,,,,
1999,Annual,36995,,,,,,
2000,Annual,38045,,,,,,
2001,Annual,39518,,,,,,
2002,Annual,40677,,,,,,
2003,Annual,40817,,,,,,
2004,Annual,43395,,,,,,
2005,Annual,46409,,,,,,
2006,Annual,48398,,,,,,
2007,Annual,49638,,,,,,
2008,Annual,50486,,,,,,
2009,Annual,49067,,,,,,
2010,Annual,48109,637.58,1.33,,,,
2011,Annual,49705,436.12,0.88,,,6073536,
2012,Annual,51442,553.43,1.08,,,6397517,
2013,Annual,51100,519.52,1.02,,,6420909,
2014,Annual,53495,603.93,1.13,,,6790803,
2015,Annual,55978,594.00,1.06,,,7186766,
2016,Annual,57311,593.55,1.04,,,7423468,
2017,Annual,60060,681.34,1.13,,,7805368,
2018,Annual,61224,775.65,1.27,,,8043521,
2019,Annual,63036,578.05,0.92,,,8333301,
