Consumer Expenditure Survey,,,,,,,,
Original Data Value,,,,,,,,
,,,,,,,,
Series Id:,CXUTRANSLB0101M,,,,,,,
Category:,Expenditures,,,,,,,
Subcategory:,Transportation,,,,,,,
Item:,Transportation,,,,,,,
Demographics:,Quintiles of income before taxes,,,,,,,
Characteristics:,All Consumer Units,,,,,,,
Years:,1987 to 2019,,,,,,,
,,,,,,,,
Year,Period,Estimate,Standard Error,Relative Standard Error,Percent Reporting,Share of Total Expenditures,Aggregate Expenditure (in millions of dollars),Share of Aggregate Expenditure
1987,Annual,4600,,,,,,
1988,Annual,5093,,,,,,
1989,Annual,5187,,,,,,
1990,Annual,5120,,,,,,
1991,Annual,5151,,,,,,
1992,Annual,5228,,,,,,
1993,Annual,5453,,,,,,
1994,Annual,6044,,,,,,
1995,Annual,6014,,,,,,
1996,Annual,6382,,,,,,
1997,Annual,6457,,,,,,
1998,Annual,6616,,,,,,
1999,Annual,7011,,,,,,
2000,Annual,7417,,,,,,
2001,Annual,7633,,,,,,
2002,Annual,7759,,,,,,
2003,Annual,7781,,,,,,
2004,Annual,7801,,,,,,
2005,Annual,8344,,,,,,
2006,Annual,8508,,,,,,
2007,Annual,8758,,,,,,
2008,Annual,8604,,,,,,
2009,Annual,7658,,,,,,
2010,Annual,7677,176.46,2.30,,16.0,,
2011,Annual,8293,146.73,1.77,,16.7,1013652,
2012,Annual,8998,152.03,1.69,,17.5,1119253,
2013,Annual,9004,147.91,1.64,,17.6,1131403,
2014,Annual,9073,177.51,1.96,,17.0,1152035,
2015,Annual,9503,218.03,2.29,,17.0,1220227,
2016,Annual,9049,195.49,2.16,,15.8,1172223,
2017,Annual,9576,198.51,2.07,,15.9,1244638,
2018,Annual,9761,226.33,2.32,,15.9,1282692,
2019,Annual,10742,194.05,1.81,,17.0,1420566,
