Consumer Price Index for All Urban Consumers (CPI-U),,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Series Id:,CUSR0000SA0,,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,,
Series Title:,"All items in U.S. city average, all urban consumers, seasonally adjusted",,,,,,,,,,,,,
Area:,U.S. city average,,,,,,,,,,,,,
Item:,All items,,,,,,,,,,,,,
Base Period:,1982-84=100,,,,,,,,,,,,,
Years:,1987 to 2019,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,HALF1,HALF2
1987,111.40,111.80,112.20,112.70,113.00,113.50,113.80,114.30,114.70,115.00,115.40,115.60,,
1988,116.00,116.20,116.50,117.20,117.50,118.00,118.50,119.00,119.50,119.90,120.30,120.70,,
1989,121.20,121.60,122.20,123.10,123.70,124.10,124.50,124.50,124.80,125.40,125.90,126.30,,
1990,127.50,128.00,128.60,128.90,129.10,129.90,130.50,131.60,132.50,133.40,133.70,134.20,,
1991,134.70,134.80,134.80,135.10,135.60,136.00,136.20,136.60,137.00,137.20,137.80,138.20,,
1992,138.30,138.60,139.10,139.40,139.70,140.10,140.50,140.80,141.10,141.70,142.10,142.30,,
1993,142.80,143.10,143.30,143.80,144.20,144.30,144.50,144.80,145.00,145.60,146.00,146.30,,
1994,146.30,146.70,147.10,147.20,147.50,147.90,148.40,149.00,149.30,149.40,149.80,150.10,,
1995,150.50,150.90,151.20,151.80,152.10,152.40,152.60,152.90,153.10,153.50,153.70,153.90,,
1996,154.70,155.00,155.50,156.10,156.40,156.70,157.00,157.20,157.70,158.20,158.70,159.10,,
1997,159.40,159.70,159.80,159.90,159.90,160.20,160.40,160.80,161.20,161.50,161.70,161.80,,
1998,162.00,162.00,162.00,162.20,162.60,162.80,163.20,163.40,163.50,163.90,164.10,164.40,,
1999,164.70,164.70,164.80,165.90,166.00,166.00,166.70,167.10,167.80,168.10,168.40,168.80,,
2000,169.30,170.00,171.00,170.90,171.20,172.20,172.70,172.70,173.60,173.90,174.20,174.60,,
2001,175.60,176.00,176.10,176.40,177.30,177.70,177.40,177.40,178.10,177.60,177.50,177.40,,
2002,177.7,178.0,178.5,179.3,179.5,179.6,180.0,180.5,180.8,181.2,181.5,181.8,,
2003,182.6,183.6,183.9,183.2,182.9,183.1,183.7,184.5,185.1,184.9,185.0,185.5,,
2004,186.3,186.7,187.1,187.4,188.2,188.9,189.1,189.2,189.8,190.8,191.7,191.7,,
2005,191.6,192.4,193.1,193.7,193.6,193.7,194.9,196.1,198.8,199.1,198.1,198.1,,
2006,199.3,199.4,199.7,200.7,201.3,201.8,202.9,203.8,202.8,201.9,202.0,203.1,,
2007,203.437,204.226,205.288,205.904,206.755,207.234,207.603,207.667,208.547,209.190,210.834,211.445,,
2008,212.174,212.687,213.448,213.942,215.208,217.463,219.016,218.690,218.877,216.995,213.153,211.398,,
2009,211.933,212.705,212.495,212.709,213.022,214.790,214.726,215.445,215.861,216.509,217.234,217.347,,
2010,217.488,217.281,217.353,217.403,217.290,217.199,217.605,217.923,218.275,219.035,219.590,220.472,,
2011,221.187,221.898,223.046,224.093,224.806,224.806,225.395,226.106,226.597,226.750,227.169,227.223,,
2012,227.842,228.329,228.807,229.187,228.713,228.524,228.590,229.918,231.015,231.638,231.249,231.221,,
2013,231.679,232.937,232.282,231.797,231.893,232.445,232.900,233.456,233.544,233.669,234.100,234.719,,
2014,235.288,235.547,236.028,236.468,236.918,237.231,237.498,237.460,237.477,237.430,236.983,236.252,,
2015,234.747,235.342,235.976,236.222,237.001,237.657,238.034,238.033,237.498,237.733,238.017,237.761,,
2016,237.652,237.336,238.080,238.992,239.557,240.222,240.101,240.545,241.176,241.741,242.026,242.637,,
2017,243.618,244.006,243.892,244.193,244.004,244.163,244.243,245.183,246.435,246.626,247.284,247.805,,
2018,248.859,249.529,249.577,250.227,250.792,251.018,251.214,251.663,252.182,252.772,252.594,252.767,,
2019,252.561,253.319,254.277,255.233,255.296,255.213,255.802,256.036,256.430,257.155,257.879,258.630,,
