Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1987,74.1,78.4,78.5,79.2,77.7,79.4,81,83.1,82.5,82.5,82.6,81.9
1988,81.1,80.7,79.9,80.4,80.2,80,81.1,82.6,81.5,80.7,80.7,80.4
1989,81.1,82.6,84.3,93.9,95.8,94,93.2,89.1,87,87.8,86.1,86
1990,92.9,93,92.3,92.8,91.7,92.6,93.1,100.9,109.3,116.9,117.2,117.6
1991,110.9,102.5,97.8,97.7,99.2,98.2,96.5,97.5,97.6,96.8,97.7,98.8
1992,97,96.5,96.8,96.6,97.5,99.8,100.3,99.7,99.6,100.8,101.3,101.7
1993,101.5,101.5,100.7,99.9,97.9,96.5,95.2,95,93.9,98.7,97.3,95.8
1994,94.6,96.2,95.8,95.7,93.9,94.9,97.8,102.4,101.8,101.3,102.1,101.9
1995,100.9,100.9,100.2,100.5,101.6,103.6,101.2,99.6,98.1,97.6,95.8,97.5
1996,101.3,101.4,104,108.6,109.7,108,106.1,104.4,104.4,104.9,107.2,110.2
1997,110.6,110.8,108.6,105.1,101.4,102.9,101.2,106.1,108.7,106.6,104.4,103.2
1998,99.4,96,91.7,89.4,91.2,92.6,92.3,90.3,89.7,90.5,89.4,87.4
1999,86.7,85.1,87.7,98.9,97.5,96.6,100.7,106.1,109.9,109.8,108.5,114.1
2000,115.9,119.8,133.2,125.6,123.6,135.2,133.7,126.3,134.2,132.6,131.8,130.5
2001,130.6,129.2,125.6,128.1,140.1,137.1,123,120.3,130.9,117,104.1,99.2
2002,100.5,99.7,107.8,115.8,116.5,116.8,118.5,119.7,120.6,125.9,125.1,124.7
2003,137.1,148.6,147.3,133.6,119,119.8,125.1,136.7,146.5,136.9,136.2,139.5
2004,148.3,151,151.2,147.2,154.6,160.3,158.2,157.6,161.3,172.7,179.2,176
2005,166.9,173.4,177.5,180.8,171.9,173,190.6,211.3,251,239.1,202,200.4
2006,213.2,210.2,208.3,224,227.5,228.1,245.3,252.7,221.3,197,195,211.3
2007,205.361,208.351,222.804,229.338,240.407,241.015,242.158,236.401,244.482,246.233,268.067,271.805
2008,273.485,277.12,279.234,276.563,289.883,321.643,334.055,319.114,321.466,278.393,191.822,154.377
2009,160.815,174.067,166.814,168.312,177.057,213.086,211.649,223.781,226.214,228.651,238.246,237.235
2010,242.036,235.748,233.103,232.594,227.765,222.745,229.026,232.674,235.661,249.885,256.596,271.509
2011,275.816,280.015,294.915,310.115,314.859,304.321,304.901,306.276,309.168,305.963,308.587,300.662
2012,306.17,316.625,319.198,319.414,303.692,291.49,287.505,310.365,326.789,332.699,315.264,306.338
2013,306.734,329.253,310.442,295.206,293.131,298.112,298.754,303.409,297.39,295.64,297.183,303.304
2014,308.4,305.007,300.141,305.367,301.296,302.293,299.785,294.803,287.003,278.463,262.282,238.491
2015,199.553,206.901,214.684,211.577,225.281,230.871,231.775,225.725,201.935,199.315,198.984,190.765
2016,181.445,162.727,175.164,184.762,187.627,196.44,185.486,183.715,189.766,197.788,199.22,206.244
2017,217.892,213.626,210.69,209.074,197.848,195.797,191.889,203.585,228.252,218.99,228.908,228.888
2018,235.325,239.767,231.325,238.803,242.344,243.105,241.377,246.229,250.369,253.471,238.309,225.063
2019,208.73,217.237,230.013,245.651,242.557,231.691,235.098,229.734,228.23,232.348,236.924,244.197
