obs_date,category,value
1987-01-01,PCE_Total,2935.5
1987-02-01,PCE_Total,3001.7
1987-03-01,PCE_Total,3013.3
1987-04-01,PCE_Total,3038.8
1987-05-01,PCE_Total,3048.4
1987-06-01,PCE_Total,3072.8
1987-07-01,PCE_Total,3094.7
1987-08-01,PCE_Total,3130.8
1987-09-01,PCE_Total,3126.5
1987-10-01,PCE_Total,3134.5
1987-11-01,PCE_Total,3144.2
1987-12-01,PCE_Total,3174.1
1988-01-01,PCE_Total,3213.7
1988-02-01,PCE_Total,3221.4
1988-03-01,PCE_Total,3260.5
1988-04-01,PCE_Total,3263.0
1988-05-01,PCE_Total,3293.6
1988-06-01,PCE_Total,3318.5
1988-07-01,PCE_Total,3342.7
1988-08-01,PCE_Total,3368.0
1988-09-01,PCE_Total,3375.0
1988-10-01,PCE_Total,3413.7
1988-11-01,PCE_Total,3430.2
1988-12-01,PCE_Total,3459.7
1989-01-01,PCE_Total,3483.7
1989-02-01,PCE_Total,3488.0
1989-03-01,PCE_Total,3498.8
1989-04-01,PCE_Total,3543.0
1989-05-01,PCE_Total,3551.8
1989-06-01,PCE_Total,3566.6
1989-07-01,PCE_Total,3585.7
1989-08-01,PCE_Total,3620.6
1989-09-01,PCE_Total,3621.9
1989-10-01,PCE_Total,3633.6
1989-11-01,PCE_Total,3643.3
1989-12-01,PCE_Total,3684.2
1990-01-01,PCE_Total,3730.7
1990-02-01,PCE_Total,3728.2
1990-03-01,PCE_Total,3754.9
1990-04-01,PCE_Total,3770.0
1990-05-01,PCE_Total,3775.8
1990-06-01,PCE_Total,3804.5
1990-07-01,PCE_Total,3821.7
1990-08-01,PCE_Total,3848.3
1990-09-01,PCE_Total,3870.1
1990-10-01,PCE_Total,3870.6
1990-11-01,PCE_Total,3871.9
1990-12-01,PCE_Total,3861.3
1991-01-01,PCE_Total,3841.0
1991-02-01,PCE_Total,3866.7
1991-03-01,PCE_Total,3913.0
1991-04-01,PCE_Total,3907.1
1991-05-01,PCE_Total,3933.2
1991-06-01,PCE_Total,3940.5
1991-07-01,PCE_Total,3966.0
1991-08-01,PCE_Total,3969.1
1991-09-01,PCE_Total,3984.7
1991-10-01,PCE_Total,3976.0
1991-11-01,PCE_Total,4003.6
1991-12-01,PCE_Total,4020.5
1992-01-01,PCE_Total,4084.7
1992-02-01,PCE_Total,4099.5
1992-03-01,PCE_Total,4117.0
1992-04-01,PCE_Total,4131.5
1992-05-01,PCE_Total,4158.4
1992-06-01,PCE_Total,4177.1
1992-07-01,PCE_Total,4204.8
1992-08-01,PCE_Total,4220.9
1992-09-01,PCE_Total,4255.3
1992-10-01,PCE_Total,4284.7
1992-11-01,PCE_Total,4300.5
1992-12-01,PCE_Total,4336.4
1993-01-01,PCE_Total,4340.7
1993-02-01,PCE_Total,4355.3
1993-03-01,PCE_Total,4352.5
1993-04-01,PCE_Total,4393.4
1993-05-01,PCE_Total,4422.4
1993-06-01,PCE_Total,4440.0
1993-07-01,PCE_Total,4468.9
1993-08-01,PCE_Total,4481.1
1993-09-01,PCE_Total,4511.5
1993-10-01,PCE_Total,4532.8
1993-11-01,PCE_Total,4554.1
1993-12-01,PCE_Total,4571.1
1994-01-01,PCE_Total,4585.1
1994-02-01,PCE_Total,4632.6
1994-03-01,PCE_Total,4646.0
1994-04-01,PCE_Total,4671.1
